,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014
,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III
Manufacturing industries,183961,186278,190442,192916,196326,197240,198063,197386,200615,201849,203355,207320,206740,210807,212602,213998,211356,207449,203811,202183,200323,199233,200334,199876,200071,198224,195100,194264,195534,196399,197635,199447,202944,203979,204466,206421,208369,210087,213497,212772,212458,214716,214989,214917,215596,214158,213477,209815,208708,203589,199151,197423,196373,194951,195849,198833,199252,201159,201081,205184,206470,207396,209552,208253,206876,205694,207487,207391,208637,210991,210981
  Durable goods industries,96914,98985,102167,103857,106355,107998,108779,108646,110820,111178,112113,114466,114500,118622,120458,123082,121015,117774,114486,113329,112495,110980,110915,110426,110615,109303,107052,106824,107859,109343,110250,111674,113723,115191,116144,117246,118584,119616,122155,122427,122938,123387,123310,125047,124065,121462,122379,124068,124199,119002,115224,111971,111410,112321,112269,113767,114692,116971,118042,120784,122549,122841,124700,124757,124662,124432,125540,125480,127402,129178,129120
    Wood product manufacturing,4178,4172,4337,4399,4255,4546,4614,4606,4760,4605,4628,4921,4912,4849,4862,4774,4791,4863,4587,4620,4757,4813,4813,4795,4976,4843,4619,4855,5110,5158,5405,5321,5598,5592,5529,5646,5525,5746,5558,5602,5474,5452,5338,5252,4998,4905,4864,4624,4363,4091,3893,3767,3877,3956,4045,4040,4071,3976,4081,4238,4187,4292,4304,4243,4396,4426,4436,4556,4564,4658,4616
    Nonmetallic mineral product manufacturing,4665,4761,4836,4908,4794,4813,4976,4866,4868,4878,4988,4970,4892,5051,5095,5053,4996,4986,5032,4942,4938,4979,4948,4963,4952,4963,5056,4965,4988,5083,5136,5214,5266,5349,5270,5312,5348,5396,5505,5480,5559,5571,5629,5703,5833,5717,5806,5707,5741,5458,5154,4951,4972,4899,4889,4870,4913,4950,4917,4897,5020,4911,4872,4863,4866,4883,4843,4850,4841,4953,4766
    Primary metal manufacturing,10439,10491,10771,11032,11128,11811,12344,12435,12238,11980,12034,12293,12274,12058,11906,11683,11634,11221,10886,10841,10343,10537,10752,10888,10896,10400,10021,9662,10078,10894,11296,11887,12270,12752,12734,12352,12635,12649,13277,13316,13213,13055,12915,13051,12522,12490,12771,13662,13494,12416,10859,10108,9948,10613,10238,10260,10731,10839,11110,11369,11512,11107,11242,11533,11394,11325,11656,11292,11387,11584,11808
    Fabricated metal product manufacturing,15284,15299,15459,15729,15577,16124,16151,16105,15919,16247,16613,16532,16510,17006,16928,17069,16714,16754,16461,16339,16553,16081,16138,16057,16702,16270,15874,15785,15713,15616,15936,15939,16409,16713,16861,17168,17330,17382,17329,17684,17897,17522,17497,17683,17483,16947,17497,17624,17689,16901,16313,15578,15502,15372,15488,15700,15587,16243,16134,16564,16594,16680,16922,16694,16640,16587,16837,16885,17097,17239,17026
    Machinery manufacturing,15328,15652,15922,16270,16708,16705,16947,16458,17152,16812,16928,17153,16811,17604,17954,18080,18139,17514,17009,16838,17040,16908,16903,17180,17036,16905,16506,16331,16162,16281,16267,16448,16691,17239,17472,17753,18061,18208,18689,19041,19070,19105,19451,19537,19532,19097,19070,19591,19955,19122,18455,17430,17144,17219,17526,18307,18837,19530,20120,20507,21053,21434,22118,21694,21471,21386,21409,21257,21459,21654,21980
    Computer and electronic product manufacturing,12661,13308,14102,14517,14961,14888,14795,14498,15482,15795,15986,16952,17617,19287,20052,21501,21081,19956,19052,18584,18200,17564,17452,16926,16882,16663,16143,16307,16755,16583,16247,16765,16726,16538,17061,17222,17583,17881,18456,18158,18471,19310,19091,19440,19867,19298,19612,19518,19801,19601,20029,19943,19404,20009,19896,20012,20349,20417,20535,20895,21745,21485,21961,22346,22256,22500,22442,22560,23279,23552,23652
